Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабак,Хома,Вікторович,Чоловік,1999-05-09,Геолог,хутір Белз,"парк Балтський 7-й, буд. 84 кв. 6, Гадяч, 16490",048 214 93 35,tereshchukvasyl@example.net
Олійник,Леопольд,Євгенович,Чоловік,1978-03-12,Секретар,хутір Жашків,"проспект Трудовий, буд. 39, Авдіївка, 62246",+380 19 915-92-49,rartiushenko@example.net
Корбут,Тимофій,Миколайович,Чоловік,1974-11-18,Різноробочий,село Олешки,"набережна Східний, буд. 553 кв. 2, Угнів, 90196",086 343 25 30,iustynaromanenko@example.net
Яценюк,Захар,Тарасович,Чоловік,1938-12-15,Краєзнавець,селище Снятин,"провулок Стамбульський, буд. 561, Лиман , 01821",634-08-34,wriaboshapka@example.com
Яценко,Теодор,Олегович,Чоловік,1960-12-28,Піаніст,місто Золочів,"шосе Красносільська, буд. 97 кв. 8, Ланівці, 76823",765 85 82,iosypkozachenko@example.net
Ковалюк,Прохір,Вікторович,Чоловік,1947-09-18,Фрілансер,місто Жданівка,"проспект Ломоносова, буд. 357 кв. 193, Козятин, 28639",+380 (48) 270-23-56,albert56@example.org
Фаренюк,Герман,Олександрович,Чоловік,1945-02-10,Актор,селище Ковель,"парк Володимира Хавкіна, буд. 7, Зіньків, 07591",860 38 34,orysiaandriievych@example.com
Рудько,Семен,Андрійович,Чоловік,1980-08-09,Драматург,місто Дружківка,"узвіз Нафтовиків 1-й, буд. 150, Бровари, 52264",+380 72 862 18 99,bsemenchenko@example.org
Іщенко,Гордій,Іванович,Чоловік,1971-11-26,Зоолог,місто Дунаївці,"сквер Різдвяна, буд. 83 кв. 28, Долина , 25669",+380 (84) 611-52-87,babiakiukhym@example.com
Саченко,Гліб,Дмитрович,Чоловік,2008-07-24,Мінералог,селище Кам'янське,"проспект Розумовський 2-й, буд. 449 кв. 560, Тиврів, 66374",+380 46 206-69-21,okseniiashelest@example.com
Чорновіл,Аарон,Миколайович,Чоловік,1992-09-07,Медик,село Дружба ,"провулок Іванова 1-й, буд. 4, Маріуполь, 24860",944 21 16,dotsenkoieva@example.com
Тригуб,Марко,Романович,Чоловік,1996-09-18,Мистецтвознавець,село Обухів,"вулиця Дальня, буд. 39 кв. 87, Лохвиця, 06489",+380 23 510 50 38,nalyvaikodemyd@example.net
Носаченко,Антон,Федорович,Чоловік,1972-12-30,Державний службовець,місто Золоте,"проспект Деревообробний 1-й, буд. 36 кв. 398, Кадіївка, 18093",023 854 14 50,iarema28@example.net
Бакуменко,Вʼячеслав,Михайлович,Чоловік,1987-06-16,Дерун,хутір Скадовськ,"набережна Машинобудівний, буд. 8, Бурштин , 08447",072 012-70-32,danrak@example.com
Стус,Владислав,Вікторович,Чоловік,1949-05-27,Швачка,хутір Луганськ,"провулок Санаторний, буд. 1 кв. 9, Заліщики, 43450",022-83-06,milenanestaiko@example.net
Шило,Орест,Федорович,Чоловік,1950-05-17,Клавішник,село Лебедин,"парк Краснослобідська, буд. 713 кв. 9, Чортків, 38649",+380 18 543 52 64,teodor37@example.com
Лисенко,Віктор,Петрович,Чоловік,1971-03-14,Кінорежисер,хутір Горохів,"парк Кифоренка Бориса, буд. 370 кв. 186, Старокостянтинів, 01613",+380 57 313-30-23,deinekabohuslav@example.org
Хомик,Валерій,Миколайович,Чоловік,1951-09-30,Економіст,хутір П'ятихатки,"узвіз Палубний, буд. 14, Камінь-Каширський, 77434",+380 78 963 67 69,aaronsavenko@example.net
Лемешко,Павло,Богданович,Чоловік,1970-10-09,Кінокритик,місто Івано-Франківськ,"набережна Ковалевського, буд. 665 кв. 326, Сміла, 55707",648-88-57,lhunko@example.com
Остапчук,Леопольд,Михайлович,Чоловік,1971-01-05,Бізнесмен,хутір Шепетівка,"шосе Марсельська, буд. 706, Сулимівка (Слов'янськ), 19477",678-35-06,lesdzyndra@example.com
Тимчук,Дмитро,Сергійович,Чоловік,1964-10-06,Мікробіолог,село Красноград,"шосе Чорноморський 11-й, буд. 4 кв. 04, Ялта, 54338",014 026 17 77,schernenko@example.com
Шаблій,Федір,Максимович,Чоловік,1953-09-30,Живописець,село Гнівань,"узвіз Полтавська, буд. 837, Хотин, 26042",728-87-01,semenbashpolchenko@example.com
Дашенко,Прохір,Миколайович,Чоловік,2001-09-20,Дерун,село Павлоград,"вулиця Прирейкова, буд. 0, Радомишль, 09198",+380 (26) 013-97-62,piurchyshyn@example.net
Петренко,Ярема,Сергійович,Чоловік,1981-09-23,Стоматолог,селище Галич,"узвіз Онезька, буд. 7, Теплодар, 19519",+380 (80) 349-92-13,zakharbhydenko@example.org
Медведенко,Азар,Євгенович,Чоловік,1996-09-21,Головний меркшейдер,селище Кропивницький,"сквер Ползунова 1-й, буд. 1 кв. 470, Городня, 14538",515 30 76,zlatoslava01@example.net
Іващенко,Веніямин,Юрійович,Чоловік,1976-10-27,Євнух,селище Вугледар,"набережна Приморський, буд. 19, Заліщики, 44212",+380 68 185 43 27,sofiiaizhakevych@example.org
Деряжний,Іван,Федорович,Чоловік,1949-07-15,Няня,місто Зборів,"проспект Косовська, буд. 245 кв. 6, Роздільна, 69269",046 214-49-99,havryshkevychsemen@example.com
Гаврилишин,Варфоломій,Вікторович,Чоловік,2006-03-04,Патологоанатом,місто Марганець ,"проспект Офіцерська, буд. 58, Самбір, 89020",019 863-44-95,orkhyp46@example.com
Овчаренко,Аврелій,Павлович,Чоловік,1997-11-08,Інженер,село Буча,"шосе Черкаська, буд. 562 кв. 56, Дубляни, 70912",+380 (09) 676-64-39,nazar38@example.org
Фурс,Соломон,Федорович,Чоловік,2000-08-17,Художник,хутір Волноваха,"узвіз Колонтаївська, буд. 925, Батурин, 75139",015 812-49-07,nadiia74@example.org
Баштан,Семен,Романович,Чоловік,1962-12-14,Водій,місто Джанкой,"площа Кифоренка Бориса, буд. 906 кв. 37, Берестечко, 21569",+380 88 275-76-29,martynvermenych@example.com
Баран,Лесь,Максимович,Чоловік,1971-03-17,Пілот,селище Вовчанськ,"набережна Виставочна, буд. 5, Жовті Води, 72460",091 527 18 14,kvernyhora@example.com
Цюцюра,Феофан,Романович,Чоловік,1978-05-05,М'ясник,хутір Ніжин,"провулок Госпітальний, буд. 9 кв. 17, Маріуполь, 78454",683-37-27,vlasiukoles@example.org
Фесенко,Миколай,Михайлович,Чоловік,1968-03-09,Краєзнавець,хутір Радивилів,"шосе Локомотивний 1-й, буд. 4 кв. 29, Березань , 98893",815-33-01,chumakkyrylo@example.net
Адамчук,Федір,Сергійович,Чоловік,1997-03-25,Публіцист,хутір Галич,"сквер Польська, буд. 4 кв. 076, Знам'янка, 93226",895 67 99,hennadiishvachka@example.org
Свириденко,Теодор,Андрійович,Чоловік,1954-05-20,Режисер,село Довжанськ,"шосе Лютнева, буд. 2, Перечин, 37651",000 143-58-48,volodymyr92@example.com
Щорс,Леон,Тарасович,Чоловік,1995-03-28,Сантехнік,село Макіївка,"провулок Мостовий, буд. 97, Вишневе , 97188",+380 26 360-01-25,daryna68@example.net
Іваничук,Михайло,Федорович,Чоловік,1996-07-05,Агроном,місто Переяслав,"парк Сирітський, буд. 64, Чистякове, 07901",+380 10 329-54-12,anita12@example.org
Архипенко,Герман,Сергійович,Чоловік,1963-10-21,Фольклорист,селище Ізяслав,"сквер Пастера, буд. 2, Докучаєвськ, 71230",326 98 92,stepan13@example.com
Єрьоменко,Дан,Миколайович,Чоловік,1952-12-27,Скульптор,хутір Мукачево,"узвіз Лінійна, буд. 0 кв. 7, Миргород, 26164",319 09 58,erika57@example.org
